1.000000 4.000000 0.480591 Ni
2.000000 4.000000 0.480591 Ni
3.000000 4.000000 0.480591 Ni
4.000000 4.000000 0.480591 Ni
5.000000 5.000000 0.480591 Ni
1.000000 5.000000 0.480591 Ni
2.000000 5.000000 0.480591 Mo
3.000000 5.000000 0.480591 Mo
4.000000 5.000000 0.480591 Ni
0.333333 0.333333 0.519409 Ni
1.333333 0.333333 0.519409 Mo
2.333333 0.333333 0.519409 Ni
3.333333 0.333333 0.519409 Ni
4.333333 0.333333 0.519409 Fe
0.333333 1.333333 0.519409 Mo
1.333333 1.333333 0.519409 Ni
2.333333 1.333333 0.519409 Ni
3.333333 1.333333 0.519409 Mo
4.333333 1.333333 0.519409 Cr
0.333333 2.333333 0.519409 Ni
1.333333 2.333333 0.519409 B
2.333333 2.333333 0.519409 Al
3.333333 2.333333 0.519409 Cr
4.333333 2.333333 0.519409 Ni
0.333333 3.333333 0.519409 Ni
1.333333 3.333333 0.519409 Ni
2.333333 3.333333 0.519409 Ni
3.333333 3.333333 0.519409 Ni
4.333333 3.333333 0.519409 Ni
0.333333 4.333333 0.519409 Ni
1.333333 4.333333 0.519409 Ni
2.333333 4.333333 0.519409 Ni
3.333333 4.333333 0.519409 Ni
4.333333 4.333333 0.519409 Ni
0.333333 5.333333 0.519409 C
1.333333 5.333333 0.519409 Mo
2.333333 5.333333 0.519409 Ni
3.333333 5.333333 0.519409 Ni
4.333333 5.333333 0.519409 Ni
