regime,metric,parameter,pawn_median,delta,S1_givendata,n
surface,theta,trap_gb_N_T,0.06206263982102908,0.0810415342291362,0.000640028181401723,1500
surface,theta,trap_vacancy_E_b,0.066,0.08884055727778137,0.022893123432127214,1500
surface,theta,trap_vacancy_N_T,0.07905816554809844,0.0566120259905484,0.006316549098223727,1500
surface,theta,trap_carbide_E_b,0.0699731543624161,0.0814785926263673,0.015377149291701583,1500
surface,theta,trap_carbide_N_T,0.05534228187919463,0.08512183126241563,0.006202978983937376,1500
surface,theta,temperature,0.15766666666666668,0.10879085771167157,0.03255552005444614,1500
surface,theta,k_diss_ref,0.07766666666666666,0.08145934444777207,0.022399965510675607,1500
surface,theta,E_diss,0.08133333333333334,0.09437683052141164,0.031290456933745964,1500
surface,theta,K_eq_ref,0.11033333333333334,0.12138198653278373,0.04336830694069481,1500
surface,theta,H_eq,0.07633333333333334,0.11664147349218906,0.018813432241268913,1500
surface,theta,k_diss_metal_ref,0.062,0.08260142620014521,0.009614127229126027,1500
surface,theta,E_diss_metal,0.064,0.08362360550427496,0.009719648050064162,1500
surface,theta,K_eq_metal_ref,0.07,0.10055384040636874,0.015984878201775448,1500
surface,theta,H_eq_metal,0.05666666666666667,0.08466635644364803,0.002797840011803358,1500
oxide,flux,D_ref,0.0696103589962857,0.06670903206851919,0.011606583113497902,1513
oxide,flux,E_D,0.0655163383590617,0.05304079804231183,0.012440069644510561,1513
oxide,flux,K_s_ref,0.1008368970030158,0.06597473289890915,0.030460736486045973,1513
oxide,flux,H_s,0.07879612891365341,0.05026181602754054,0.017094019673873237,1513
oxide,flux,D_ox_ref,0.056404676376250726,0.04547447894639447,0.0051963448744962015,1513
oxide,flux,E_D_ox,0.07923164801302618,0.068777375764263,0.014422331354337037,1513
oxide,flux,K_ox_ref,0.06603044325730967,0.06170940495382715,0.007075352777969305,1513
oxide,flux,H_sol_ox,0.17949295947264982,0.16121638770618094,0.1304002147386086,1513
oxide,flux,metal_thickness,0.06690580093932058,0.05488550268770754,0.008693569750052733,1513
oxide,flux,oxide_thickness,0.06363173341209,0.058752597196297954,0.0077465398551053635,1513
oxide,flux,P_upstream,0.06726909827849586,0.05331417533736532,0.01907180116891879,1513
oxide,flux,f_pinhole,0.06527315145121967,0.05671610515459119,0.0021033727327010236,1513
oxide,flux,f_crack,0.07467730004420847,0.06876288275928973,0.013080319647706066,1513
oxide,flux,f_gb_defect,0.05175892814153714,0.0512534871897642,0.0035332662732999267,1513
oxide,flux,crack_thickness_factor,0.061467283542630535,0.08351731052508077,0.012739547811694016,1513
oxide,flux,gb_diffusivity_factor,0.0787085873861413,0.03313959783402621,0.007114604128761868,1513
oxide,flux,grain_size,0.06284244863328094,0.04622605986117748,0.0066368657000515,1513
oxide,flux,gb_thickness,0.06136004517142819,0.07482557360079495,0.009812549535284468,1513
oxide,flux,lattice_density,0.06588515023853914,0.05692529960235781,0.010645584111527662,1513
oxide,flux,trap_dislocation_E_b,0.05797656513308501,0.04960864880273833,0.007775419421557445,1513
oxide,flux,trap_dislocation_N_T,0.06401911906960865,0.07268698915450915,0.004399419828292204,1513
oxide,flux,trap_gb_E_b,0.0605940568056972,0.0627042517614475,0.005065659626606325,1513
oxide,flux,trap_gb_N_T,0.05770737493598525,0.05883435101378696,0.013594976242911746,1513
oxide,flux,trap_vacancy_E_b,0.07080577598998525,0.08178976597191069,0.018282751225627832,1513
oxide,flux,trap_vacancy_N_T,0.05985433089821984,0.056088470981529165,0.02812734552206806,1513
oxide,flux,trap_carbide_E_b,0.07199900444549698,0.05795896260086937,0.02052117171854091,1513
